NAME,Type,District,Management,Long,Lat
Hong Kong Velodrome Park,Park,Sai Kung,Leisure and Cultural Services Department,114.262,22.3131
Po Lam Sitting-out Area,Pet Garden,Sai Kung,Leisure and Cultural Services Department,114.254,22.3273
Wan Po Road Pet Garden,Pet Garden,Sai Kung,Leisure and Cultural Services Department,114.268,22.3045
Tai Ping Village Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.262,22.3806
Yi Chun Street Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.271,22.3799
Sheung Ning Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.262,22.3161
Wai Man Road Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.275,22.3842
Sha Tsui Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.273,22.3814
Chui Ling Lane Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.251,22.3042
Man Yee Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.272,22.3813
Yau Yue Wan Children's Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.26,22.3256
Yau Yue Wan Playground,Playground,Sai Kung,Leisure and Cultural Services Department,114.259,22.3273
Pak Kong Soccer Pitch,Soccer Pitch,Sai Kung,Leisure and Cultural Services Department,114.262,22.3759
Ho Chung Soccer Pitch,Soccer Pitch,Sai Kung,Leisure and Cultural Services Department,114.252,22.3539
Hang Hau Sports Centre,Sports Centre,Sai Kung,Leisure and Cultural Services Department,114.268,22.3173
Po Lam Sports Centre,Sports Centre,Sai Kung,Leisure and Cultural Services Department,114.255,22.3259
Tseung Kwan O Sports Centre,Sports Centre,Sai Kung,Leisure and Cultural Services Department,114.26,22.3174
Tsui Lam Sports Centre,Sports Centre,Sai Kung,Leisure and Cultural Services Department,114.25,22.3222
Tseung Kwan O Sports Ground,Sports Ground,Sai Kung,Leisure and Cultural Services Department,114.263,22.3116
Sai Kung Squash Courts,Sports Ground,Sai Kung,Leisure and Cultural Services Department,114.275,22.3831
Sai Kung Tennis Courts,Sports Ground,Sai Kung,Leisure and Cultural Services Department,114.275,22.3831
Sai Kung Tang Shiu Kin Sports Ground,Sports Ground,Sai Kung,Leisure and Cultural Services Department,114.273,22.3834
Hong Kong Velodrome,Sports Ground,Sai Kung,Leisure and Cultural Services Department,114.263,22.3131
Sai Kung Waterfront Park,Waterfront,Sai Kung,Leisure and Cultural Services Department,114.275,22.3825
Sheung Li Uk Garden,Garden and Sitting-out Area,Sham Shui Po,Leisure and Cultural Services Department,114.162,22.3359
